Buy Now,Comprar Ahora
Share on Twitter,Compartir en Twitter
Quantity,Cantidad
Move to wishlist,Mover a wishlist
Whats this?,¿Qué es esto?
Zip,Código postal
Estimate,Presupuesto
Empty Cart,Bolsa Vacía
(Excl. Tax),(Impuestos Excl.)
(Incl. Tax),(Imuestos Incl.)
Are you sure you want to leave this page? You will need to go through the checkout steps again.,¿Estás seguro de querer abandonar la página? Tendrás que realizar los pasos del checkout de nuevo.
Your Currency:,Tu Moneda:
Your Currency,Tu Moneda
Items in your order,Artículos en tu pedido
Item in your order,Artículos en tu pedido
Menu,Menú
Account,Cuenta
Same as shipping,Igual que el envío
Checkout as a Guest,Checkout como Invitado
Register and Checkout,Registrate y Checkout
Returning Customers,Clientes Habituales
Sign in to speed up your checkout process,Registrate para agilizar el proceso de checkout
New Here?,¿Eres Nuevo?
Registration is free and easy!,¡Registrarse es fácil y gratuito!
Save multiple shipping addresses,Guardar múltiples direcciones de envío
View and track orders and more,Ver y seguir pedidos
Please enter the following information to create your account.,Por favor introduce la información correspondiente para crear una cuenta.
Checking Remember me will let you access your shopping cart on this computer when you are logged out,Clic en Recordarme te permitirá acceder a tu bolsa en este ordenador cuando tengas la sesión cerrada.
2 star,2 estrellas
3 star,3 estrellas
4 star,4 estrellas
5 star,5 estrellas
Let us know your thoughts,Déjanos saber qué piensas
What's your nickname?,¿Cual es tu nombre de usuario?
Invoiced:,Facturado:
ZIP Code,Código postal
's , de
Date created ,Novedades
"""US Customs authorities does not allow the sale of this item in the <strong>United States</strong>, so Elite decided <strong>not send this article to any destination within the US territory</strong>. Sorry for the inconvenience.""","""Las autoridades de aduanas de Estados Unidos no permiten la venta de este producto dentro de su territorio, por lo que Elite ha decidido <strong>no enviar este producto a ningún destino dentro del territorio de Estados Unidos</strong>. Disculpe las molestias."""
"""Mexico does not permit foreign importers of shoes to enter therefore Elite is not allowed to send this kind of product to the country.""","""Las autoridades aduaneras de Méjico no permiten la importación de calzados por lo que Elite no puede enviar este tipo de artículos a este país."""
"""Customs authorities in some countries can find problems with composition of this item, so Elite decided not send this kind of items outside of European Union. If you want we ship this item to another country please contact previously with us.""","""Las autoridades aduaneras de algunos países pueden encontrar problemas con la composición de este artículo, por lo que Elite ha decidido no enviar este tipo de artículos fuera de la Unión Europea. Si usted desea enviar este artículo a otro país contacte con nosotros”"
"Unfortunately, we haven't found any match for ","Lo sentimos, no hemos encontrado ningún resultado para "
Try again please:,Inténtalo de nuevo:
Need us to give you a hand?,¿Necesitas que te echemos una mano?
Drop us a line:,DÉJANOS UN MENSAJE:
we'll get back to you ASAP,te contestaremos lo más pronto posible
GIVE US A CALL:,DANOS UN TOQUE:
Give us a call:,Danos un toque:
except Official Bank holidays,excepto festivos Oficiales
Looking for..,Buscar..
Recently Viewed,Vistos Recientemente
RECENTLY VIEWED,VISTOS RECIENTEMENTE
YOU MAY ALSO FALL FOR...,TAMBIÉN PUEDE GUSTARTE...
Privacy & Legal,Legal y Privacidad
"""Elite ships worldwide. The shipping cost will be calculated at the checkout. You can track your order at any time, once it has been shipped. Click here for more info. ""","""Elite realiza envíos. Los costes de envío serán calculados al finalizar el proceso de compra. Puedes hacer seguimiento de tu pedido en cualquier momento, una vez enviada. Clic aquí para más información."""
"""If you are not satisfied with your purchase, the item(s) can be returned for a size exchange, a store credit or a refund within the 14 days after the order is delivered. Click here for more info. ""","""Si no estás satisfecho con tu compra, lo(s) artículo(s) pueden ser cambiados de talla, por crédito de tienda o devueltos dentro de 14 días después de recibirse. Clic aquí para más información."""
EXPLORE,EXPLORAR
SHOP NOW,COMPRAR
ELITE MAN,ELITE HOMBRE
ELITE WOMAN,ELITE MUJER
(Product is based on ,(Artículo basado en la talla 
 size),)
Looking for...,Buscar...
I accept the Terms & Conditions,Acepto los Términos y Condiciones
Welcome to the checkout. Fill in the fields below to complete your purchase!,Bienvenido al checkout. Rellena los campos para completar el proceso.
 You're using:, Estás usando:
My Dashboard,Mi cuenta
Account Dashboard,Bienvenid@
Account Information,Detalles de mi cuenta
Address Book,Mi libro de Direcciones
