Buy Now,Comprar Ahora
NICHE PERFUMES,PERFUMES SELECTOS
TECHNOLOGY,TECNOLOGÍA
WOMEN TECHNOLOGY,TECNOLOGIA MUJER
GADGETS,GADGETS
IPHONE CASES,FUNDAS DE IPHONE
IPAD CASES,FUNDAS DE IPAD
SALE,REBAJAS
MEN CLOTHING,ROPA DE HOMBRE
MEN BOTTOMS,PARTES DE ABAJO DE HOMBRE
MEN OUTERWEAR,PRENDAS EXTERIOR HOMBRE
BLAZERS & JACKETS,BLAZERS Y CHAQUETAS
DOWN JACKETS,PLUMA
SUITS,TRAJES
MEN TOPS,PARTES DE ARRIBA DE HOMBRE
POLOS & T-SHITS,POLOS Y CAMISETAS
SHIRTS,CAMISAS
UNDERWEAR,ROPA INTERIOR
MEN SHOES,ZAPATOS DE HOMBRE
BOOTS,BOTAS
LOAFERS & CAR SHOES,MOCASINES
SANDALS,SANDALIAS
MEN SNEAKERS,ZAPATILLAS DE HOMBRE
MEN BAGS,BOLSOS DE HOMBRE
OFFICE,MALETINES
POUCHES,BOLSOS DE MANO
TRAVEL & GYM,BOLSOS DE VIAJE Y GIMNASIO
MEN ACCESSORIES,ACCESORIOS DE HOMBRE
MEN FASHION ACCESSORIES,ACCESORIOS DE MODA DE HOMBRE
GLOVES,GUANTES
KEYRINGS & CHARMS,LLAVEROS
SOCKS,CALCETINES
TIES,CORBATAS
MEN HOME & GIFTS,HOGAR Y REGALOS HOMBRE
SKATEBOARDS,PATINETES
MEN TECHNOLOGY,TECNOLOGÍA HOMBRE
KIDS CLOTHING,ROPA DE NIÑOS
KIDS OUTERWEAR,PRENDAS EXTERIOR DE NIÑOS
OVERALLS & SETS,MONOS Y CONJUNTOS
VIEW ALL A-Z,VER TODAS DE A-Z
FRIVOLIDAYS,FRIVOLIDAYS
INSTANTLY ELITE,INSTANTÁNEAMENTE ELITE
OUTLET,OUTLET
MY ORDERS,MIS PEDIDOS
Check the status of your current order. View your order history.,Comprobar el estado de tu pedido actual. Ver historial del pedido.
You haven't placed any order yet.,No has creado ningún pedido aún.
Designer,Diseñador
ONLY 1 LEFT,SOLO QUEDA 1
"All of your favourite items in on place. Add new ones now, shop or share later.","Todos tus artículo favoritos en un único lugar. Añade nuevos artículos ahora, comprar o compartir más adelante."
Your Wishlist is currenty empty.,Tu Wishlist está actualmente vacía.
Would you love to see your favourite items all together here? Just click on the,¿Te gustaría ver todos tus artículos favoritos juntos? Solo pincha sobre el
symbol in the product catalogue or the page of the item you love.,símbolo en el catálogo de productos o en la página del artículo que te encante.
"Once created, you'll be able to keep track of the availability, edit or shop your wishlist anytime, and share it with your family and friends.","Una vez creado, podrás hacer un seguimiento de la disponibilidad, editar, o comprar tu lista de deseos en cualquier momento, y compartir con tu familia y amigos."
Sort,Ordenar
You May Also Like,También Te Puede Gustar
View Gallery,Ver Galería
Tell a Friend,Decírselo a un amigo
Email to Friend,Enviar Email a un Amigo
Your order has been received,Tu pedido ha sido recibido
Page,Página
Language,Idioma
Selected Store,Tienda Seleccionada
Customer Information,Información de Cliente
Update Order Data,Actualiza Información de Pedido
Already registered? Please log in below:,¿Estás ya registrado? Por favor inicia sesión:
Billing Agreement,Acuerdo de Facturación
Go,Ir
Newsletter Sign-up:,Suscripción al Newsletter:
Free Shipping on orders over 500,Envíos gratuitos en pedidos superiores a 500€
Filter,Filtro
Results per page,Resultados por página
Share Facebook,Compartir Facebook
Share on Twitter,Compartir en Twitter
Quantity,Cantidad
Move to wishlist,Mover a wishlist
Whats this?,¿Qué es esto?
Zip,Código postal
Estimate,Presupuesto
Empty Cart,Bolsa Vacía
(Excl. Tax),(Impuestos Excl.)
(Incl. Tax),(Imuestos Incl.)
Are you sure you want to leave this page? You will need to go through the checkout steps again.,¿Estás seguro de querer abandonar la página? Tendrás que realizar los pasos del checkout de nuevo.
Your Currency:,Tu Moneda:
Your Currency,Tu Moneda
Items in your order,Artículos en tu pedido
Item in your order,Artículos en tu pedido
Menu,Menú
Account,Cuenta
Same as shipping,Igual que el envío
Checkout as a Guest,Checkout como Invitado
Register and Checkout,Regístrate y Checkout
Returning Customers,Clientes Habituales
Sign in to speed up your checkout process,Registrate para agilizar el proceso de checkout
New Here?,¿Eres Nuevo?
Registration is free and easy!,¡Registrarse es fácil y gratuito!
Save multiple shipping addresses,Guardar múltiples direcciones de envío
View and track orders and more,Ver y seguir pedidos
Please enter the following information to create your account.,Por favor introduce la información correspondiente para crear una cuenta.
Checking Remember me will let you access your shopping cart on this computer when you are logged out,Clic en Recordarme te permitirá acceder a tu bolsa en este ordenador cuando tengas la sesión cerrada.
2 star,2 estrellas
3 star,3 estrellas
4 star,4 estrellas
5 star,5 estrellas
Let us know your thoughts,Déjanos saber qué piensas
What's your nickname?,¿Cúal es tu nombre de usuario?
Invoiced:,Facturado:
ZIP Code,Código postal
's , de 
Date created ,Novedades 
"""US Customs authorities does not allow the sale of this item in the <strong>United States</strong>, so Elite decided <strong>not send this article to any destination within the US territory</strong>. Sorry for the inconvenience.""","""Las autoridades de aduanas de Estados Unidos no permiten la venta de este producto dentro de su territorio, por lo que Elite ha decidido <strong>no enviar este producto a ningún destino dentro del territorio de Estados Unidos</strong>. Disculpe las molestias."""
"""Mexico does not permit foreign importers of shoes to enter therefore Elite is not allowed to send this kind of product to the country.""","""Las autoridades aduaneras de Méjico no permiten la importación de calzados por lo que Elite no puede enviar este tipo de artículos a este país."""
"""Customs authorities in some countries can find problems with composition of this item, so Elite decided not send this kind of items outside of European Union. If you want we ship this item to another country please contact previously with us.""","""Las autoridades aduaneras de algunos países pueden encontrar problemas con la composición de este artículo, por lo que Elite ha decidido no enviar este tipo de artículos fuera de la Unión Europea. Si usted desea enviar este artículo a otro país contacte con nosotros”"
"Unfortunately, we haven't found any match for ","Lo sentimos, no hemos encontrado ningún resultado para "
Try again please:,Inténtalo de nuevo: 
Need us to give you a hand?,¿Necesitas que te echemos una mano?
Drop us a line:,DÉJANOS UN MENSAJE:
we'll get back to you ASAP,te contestaremos lo más pronto posible
GIVE US A CALL:,DANOS UN TOQUE:
Give us a call:,Danos un toque:
"Give us a call: + 34 951 31 97 38 (Monday to Friday, 9.30 - 18.00 CET, except Bank Holidays)","Danos un toque: + 34 951 31 97 38 (Lunes a Viernes, 9.30 - 18.00 CET, excepto festivos)"
except Official Bank holidays,excepto festivos Oficiales
"If you are not satisfied with your purchase, the item(s) can be returned for a size exchange, a store credit or a refund within the 14 days after the order is delivered.  ","Si no has quedado satisfecho con tu compra, puedes devolver los artículos para un cambio de talla, créditos Elite o reembolso dentro de los 14 días desde que se envía el pedido."
Click here for more info.,Clic para más información.
"Elite ships worldwide. The shipping cost will be calculated at the checkout. You can track your order at any time, once it has been shipped. ","Elite envía internacionalmente. Los gastos de envío serán calculados en el checkout. Puedes hacer seguimiento de tus pedidos en cualquier momento, una vez ha sido enviado. "
Looking for...,Buscar...
Recently Viewed,Vistos Recientemente
RECENTLY VIEWED,VISTOS RECIENTEMENTE
YOU MAY ALSO FALL FOR...,TAMBIÉN PUEDE GUSTARTE...
Privacy & Legal,Legal y Privacidad
"""Elite ships worldwide. The shipping cost will be calculated at the checkout. You can track your order at any time, once it has been shipped. Click here for more info. ""","""Elite realiza envíos. Los costes de envío serán calculados al finalizar el proceso de compra. Puedes hacer seguimiento de tu pedido en cualquier momento, una vez enviada. Clic aquí para más información."""
"""If you are not satisfied with your purchase, the item(s) can be returned for a size exchange, a store credit or a refund within the 14 days after the order is delivered. Click here for more info. ""","""Si no estás satisfecho con tu compra, lo(s) artículo(s) pueden ser cambiados de talla, por crédito de tienda o devueltos dentro de 14 días después de recibirse. Clic aquí para más información."""
EXPLORE,EXPLORAR
SHOP NOW,COMPRAR
ELITE MAN,ELITE HOMBRE
ELITE WOMAN,ELITE MUJER
(Product is based on ,(Artículo basado en la talla 
 size),)
Looking for...,Buscar...
I accept the Terms & Conditions,Acepto los Términos y Condiciones
Welcome to the checkout. Fill in the fields below to complete your purchase!,Bienvenido al checkout. Rellena los campos para completar el proceso.
 You're using:, Estás usando:
My Dashboard,Mi cuenta
Account Dashboard,Bienvenid@
Account Information,Detalles de mi cuenta
Address Book,Mi libro de Direcciones
Aditional Address,Otras Direcciones
I'd love to receive ELITE fashion news and exclusive offers via email,Me encantaría recibir noticias ELITE sobre moda y ofertas exclusivas vía email
My Store Credit                    ,Mi Crédito Elite
My Credit  ,Mi Crédito
Send Credit,Enviar Crédito
Redeem Credit,Canjear Crédito
Amount to Send ( ,Cantidad a enviar (
 available ), disponible )
Credit Code,Código de Crédito
Sending Date,Fecha de Envío
My Wishlist,Mi Wishlist
vip program,programa vip
Miss,Srta
You have to accept terms and conditions,Debes aceptar los términos y condiciones
My address book,Mi libro de direcciones
Your shipping and billing addresses,Tus direcciones de envío y facturación
Province/State,Provincia/Estado
Try again please:,Por favor inténtelo de nuevo:
"Unfortunately, we haven’t found the item you were looking for…","Desafortunadamente, no hemos encontrado el artículo que busca…"
Date created,Fecha de creación
New to ELITE?,¿Nuevo en ELITE?
Quantity,Cantidad
quantity,cantidad
QUANTITY,CANTIDAD
View my wishlist,Ver mi wishlist
size: ,talla:
ITEMS IN MY SHOPPING BAG,ARTICULOS EN MI BOLSA
Click ,Clic
More for you to love,Puede gustarte también
        More for you to love            ,Puede gustarte también
here to print,aquí para imprimir
 a copy of your order confirmation., una copia de la confirmación de tu pedido.
There are no items in your bag.,No hay nada en tu bolsa.
SHIPPING FEES,GASTOS DE ENVÍO
Free express shipping on orders of 500&euro; and over.  ,Envío express gratis para todos los pedidos superiores a 500&euro;.
"For all products, except the items included in Exclusive Offers: E-STOCK.","Para todos los productos, excepto los incluídos en Ofertas Exclusivas: E-STOCK."
"In case the order is totally or partially returned for reasons not attributable to Elite Store and the final invoice is lower than 500€, the shipping fees will be deducted from the refund.","En caso de que el pedido sea devuelto parcialmente o en su totalidad por motivos ajenos a Elite Store y la factura final sea inferior a 500€, los gastos de envío serán deducidos de la devolución."
RETURN FEES,TARIFAS DE DEVOLUCIÓN
Free express returns for all orders.,Devoluciones exprés gratuitas para todos los pedidos.
General terms &amp; conditions,Términos y condiciones generales
Privacy Policy,Política de Privacidad
Start shopping ,Empieza a comprar
 or saving your favorites for later to your , o guarda tus favoritos para después en tu
wishlist,wishlist
Select Shipping Method,Elige un método de envío
 You're using:, Estás usando:
Purchase Order,Orden de compra
I accept the Terms & Conditions,Acepto los términos y condiciones
Apply,Aplicar
*TERMS AND CONDITIONS APPLY,TÉRMINOS Y CONDICIONES*
Plus Enjoy,
10%,-10%
OFF* your first purchase!, en tu primera compra
 your first purchase!, de tu primera compra!
10% OFF YOUR FIRST PURCHASE!,¡10% DESCUENTO EN TU PRIMERA COMPRA!
"Sign up for our fashion news and exclusive promos, and receive the code directly to your inbox:","Suscríbete a nuestras noticias y promociones exclusivas y ¡recibe el código directamente en tu inbox:"
SIGN UP,Suscríbete
10% OFF YOUR PURCHASE TODAY,-10% EN TU COMPRA DE HOY
"10% off all non-discounted items. Non-accumulative with other promo codes. Use ELITENESS code during checkout.","10% dto. en todos los artículos no rebajados. No acumulable a otros códigos promocionales. Utiliza el código ELITENESS durante el checkout."
Free express shipping on orders of 500€ and over.,Envío express gratis para todos los pedidos superiores a 500€.
Available worldwide.,Para todos los países.
Elite reserves the right to withdraw this limited time only offer without notice at any time.,Oferta por tiempo limitado. Elite se reserva el derecho de retirarla en cualquier momento sin previo aviso.
General terms &amp; conditions,Términos y condiciones generales
Privacy Policy,Política de privacidad
OUR STORY,NUESTRA HISTORIA
OUR STORES,NUESTRAS BOUTIQUES
STAY TUNED,SÍGUENOS
Start shopping ,Comienza a comprar
 or saving your favorites for later to your , o salva tus favoritos para después en tu
No Payment Information Required,No se requiere información de pago
" Plus <span>Enjoy</span> <div class="desktop-promo">10%</div><span>OFF*</span>your first purchase!","<div class="desktop-promo">-10%</div> en tu primera compra*"
Welcome to the checkout. Fill in the fields below to complete your purchase!,Bienvenido al Checkout. ¡Rellena los campos a continuación para completar tu compra!
Your gift card was successfully added to your store credit balance!,Tu tarjeta de regalo ha sido añadida a tu crédito personal con éxito!
You must accept the terms and conditions,Debes aceptar los términos y condiciones
Date created,Fecha de creación
MID SEASON SALE NOW ON!,MID SEASON SALE
30% off selected SS17 items. No action required during the checkout as the prices are already marked down.,30% dto. en una selección de artículos de PV17. Los precios ya están marcados.
General terms & conditions.,Términos y condiciones generales.
Free express shipping on orders of 500&euro; and over. ,Envío express gratis para todos los pedidos superiores a 500&euro;. 
"Available worldwide. Ends May, 15 at 24.00 CET. ","Para todos los países. Oferta por tiempo limitado. Termina el 15 de mayo a las 24.00 CET. "
Elite reserves the right to withdraw this limited time only offer without notice at any time.,Elite se reserva el derecho de retirarla en cualquier momento sin previo aviso. 
SHOP WOMEN,MUJER
SHOP MEN,HOMBRE
SHOP KIDS,NIÑOS
FESTIVAL READY? BROWSE OUR COACHELLA-APPROVED EDIT!,TENEMOS UN DILEMA: ¿CUÁL DE ELLOS? ¿O UNO DE CADA?
TERMS &amp; CONDITIONS, TÉRMINOS Y CONDICIONES
PRICES CURRENCY &amp; TAXES, PRECIOS, MONEDA E IMPUESTOS
PAYMENT AND PROMO CODES, PAGO Y CÓDIGOS PROMOCIONALES
SHIPPING AND INSURANCE, ENVIOS Y SEGURO
RETURNS AND EXCHANGES, CAMBIOS Y DEVOLUCIONES
CONTACT US, CONTACTA CON NOSOTROS
"Please read these Terms and Conditions carefully before using our website. By using our services, you agree to bind by these terms and conditions. If you do not accept these terms and conditions, you will not be able to use the Services.","El cliente deberá leer detenidamente estos Términos y Condiciones antes de usar nuestra página. Al usar nuestros servicios, el cliente acepta estos términos y condiciones, si no, no podrá usar los servicios."
"GRAN CALIBRE S.L. with CIF ESB92889567 and registered address in Conjunto Benabola 8, P.C. 29660, Puerto Banús – Marbella, Spain, is the supplier of the services and activities available in the web store Elitestores.com", "GRAN CALIBRE S.L. con CIF ESB92889567 y registrada en la dirección Conjunto Benabola 8, P.C. 29660, Puerto Banús – Marbella, España, es el proveedor de los servicios y actividades disponibles en la web Elitestores.com."
"The products offered on Elitestores.com may be purchased directly on this website.","Los productos ofrecidos en Elitestores.com pueden ser adquiridos directamente en esta página web."
ORDERS AND ACCEPTANCE OF YOUR ORDER, PEDIDOS Y ACEPTACIÓN DEL PEDIDO
"All orders are subject to availability and acceptance. Items in your shopping basket are not reserved and may be purchased by other customers.", "Todos los pedidos quedan sujetos a disponibilidad y aceptación. Los artículos de la bolsa no están reservados, y podrán ser adquiridos por otros clientes."
"Once you have placed an order, you will receive an email with all the relevant details related to it. This email is not an acceptance of your order, just a confirmation that we have received it.","Una vez creado un pedido, se recibirá un email con todos los datos del mismo. Este email es solo una confirmación de haber recibido el pedido, no la aceptación."
"We reserve the right to not accept your order should one of the following reasons occur: that we are unable to obtain authorization for your payment, that shipping restrictions apply to a particular item, or that the item ordered is out of stock or does not satisfy our quality control standards and is withdrawn.", "Nos reservamos el derecho de no aceptar un pedido si ocurriera alguno de los siguientes casos: que no obtengamos autorización del pago, que se apliquen restricciones de envío a algún artículo en concreto, o que el artículo adquirido se encuentra fuera de existencias o no cumpla con nuestros requisitos de control de calidad y sea retirado."
"We reserve the right to refuse to process and therefore accept a transaction for any reason or refuse service to anyone at any time at our sole discretion. We will not be responsible for withdrawing any merchandise from the site, whether or not it has been sold, or for removing, screening or suspending any transaction that has already begun.", "Nos reservamos el derecho de negarnos a procesar y por tanto aceptar una transacción, por cualquier motivo, o negar el servicio a cualquiera a nuestra discreción. No nos haremos responsables por retirar cualquier artículo de la página, se haya o no vendido, o por quitar, filtrar, o suspender cualquier transacción que ya haya empezado."
"We make every effort to make sure the details on our site are accurate, however if we do discover a price error in our products in your order, we are under no obligation to accept or fulfill, and we reserve the right to cancel the order in question. If you order a product that is priced incorrectly for any reason, we will inform you via email or phone. If you have already paid for the goods, we will refund you the full amount as soon as possible. In the event that the products are recalled in transit, we will process the refund once the products are returned to us.", "Nos esforzamos mucho por asegurarnos de que todos los datos de nuestra página sean correctos, sin embargo, si descubriéramos un error de precio en alguno de los productos de un pedido, no estamos bajo ninguna obligación de aceptar o cumplir, y nos reservamos el derecho de cancelar el pedido en cuestión. Si se pidiera un artículo que tuviera el precio incorrecto por cualquier motivo, informaríamos vía email o por teléfono. Si ya se hubiera efectuado el pago procederíamos al reembolso del importe completo con la menor brevedad posible. En el caso en que los productos se reclamaran en tránsito, procesaríamos el reembolso una vez retornado los productos."
Customer Service, Atención al Cliente 
"For any incident or complaint, you can contact our customer care center at the following ","Para cualquier incidencia, se puede contactar con nuestro centro de atención al cliente en el siguiente "
"link", "enlace"
". Incidents may also be submitted in writing to our offices in Pol. Industrial Nueva Campana, Nave 96 29660 Marbella, (Málaga), Spain.", ". También se pueden enviar incidencias por escrito a nuestras oficinas en Pol. Industrial Nueva Campana, Nave 96 29660 Marbella, (Málaga), España."
"Prices shown on the site can be displayed in Euros, Pounds or Dollars, with you being able to change the desired currency at any time. The invoice will be issued in Euros (€).", "Los precios que aparecen en la página pueden mostrarse en Euros, Libras o Dólares, pudiendo cambiar la moneda en cualquier momento. La factura será emitida en Euros (€)."
"Final credit card and PayPal debited amounts may vary based on currency fluctuations and bank commissions.","Las cantidades cargadas por tarjeta o PayPal pueden variar dependiendo de fluctuaciones de moneda y comisiones bancarias.";
"Elitestores.com encourages clients to contact their home bank to receive the accurate price conversion and any bank commissions related to the transaction.", "Elitestores.com anima al cliente a contactar con el banco para poder obtener el tipo de cambio correcto y cualquier comisión relacionada con la transacción."
"Customers purchasing from a country served as Delivered Duty Paid (DDP), will incur relevant import duty and tax. These costs are included in the final purchase price.","Los clientes que compran desde un país servido como DDP (Entregado Derechos Pagados), incurrirán en los relevantes costes e impuestos de importación. Estos costes serán incluidos en el precio final del artículo.";
"Customers purchasing from a country served as Delivered Duty Unpaid (DDU), will be charged for the items purchased and shipping costs only. Import duty or tax costs will be invoiced directly from the currier service. We recommend you to contact your local customs authority to determine a landed cost price prior to purchase completion.", "Los clientes que compran desde un país servido como DDU (Entregada derechos no pagados), pagarán sólo los artículos adquiridos y los gastos de envío. Los gastos e impuestos de importación serán cobrados directamente por el servicio de transporte. Recomendamos contactar con la oficina de aduanas correspondiente para conocer estos gastos antes de realizar la compra."
"All orders shipped within the EU, and orders under 800$ shipped to the US are served as DDP. All orders shipped outside the EU, except the orders under 800$ shipped to the US, will be served DDU.","Todos los pedidos enviados dentro de la UE, y los pedidos por debajo de 800$ enviados a EEUU son enviados DDP. Todos los pedidos enviados fuera de la UE, excepto los pedidos enviados a EEUU por debajo de 800$, serán enviados DDU."
"The following payment methods are accepted by Elitestores.com:", "En Elistestores.com aceptamos los siguientes métodos de pago:"
"CREDIT OR DEBIT CARDS","TARJETAS DE CRÉDITO O DÉBITO"
"At Elitestores.com we accept VISA, MASTERCARD or MAESTRO cards.","En Elitestores.com aceptamos VISA, MASTERCARD, Y MAESTRO."
"Elitestores.com clients are guaranteed maximum Credit Card security because all transactions are processed using a secure server. The customer\'s credit card information is sent directly through a totally secure encrypted connection to MultiSafepay, which collect the payment. Elitestores.com doesn´t have access at any time to the customer\'s credit card information.","Garantizamos una seguridad máxima en las transacciones usando un servidor seguro. Los datos de la tarjeta se envían directamente mediante una conexión segura encriptado a MultiSafepay. Elitestores.com no tiene acceso en ningún momento a los datos de la tarjeta del cliente."
"Elitestores.com customer services will not seek in any way information from your credit card to arrange payment.", "El servicio de atención al cliente de Elistestores.com no solicitará en ningún momento datos de la tarjeta para gestionar un pago."
"Elitestores.com advises clients to apply for E-commerce security PIN CODES provided by Verified by Visa and SecureCode by MasterCard.","Elitestores.com aconseja a sus clientes a utilizar códigos de seguridad facilitados por Verified por Visa y SecureCode por MasterCard."
"If there are sufficient funds and the account information is valid, the order will be processed instantly. Credit cards are charged at the moment that the order is confirmed for both available merchandise and for Pre-order items (which are shipped later in the season when the merchandise arrives).","Si los fondos son suficientes y la información de la cuenta válida, el pedido será procesado al instante. Los cargos se harán en el momento en que el pedido sea confirmado, tanto para mercancía disponible, como para artículos reservados (que se enviarán más adelante cuando llegue la mercancía)."
"For more information visit the official website of MultiSafepay www.multisafepay.com", "Se puede obtener más información visitando la página oficial de MultiSafepay en www.multisafepay.com."
"You confirm that the credit/debit card that is being used is yours or that you have been specifically authorized by the owner of the credit/debit card to use it. All credit/debit cardholders are subject to validation checks and authorization by the card issuer. If the issuer of your payment card refuses to authorize a payment to Elitestores.com, we will not be liable for any delay or non-delivery.","Al utilizar una tarjeta de crédito o débito el cliente confirma ser el titular del mismo o haber sido autorizado específicamente por el titular para usarlo. Todos los usuarios de tarjetas de crédito o débito están sujetos a comprobaciones de validez y autorización por el emisor de la tarjeta. Si el banco emisor de la tarjeta se niega a autorizar un pago realizado a Elitestores.com, no seremos responsables de cualquier retraso o de la no entrega del pedido."
"Our customers can pay by PayPal. When you select PayPal as the payment method, the page will be automatically redirected to the PayPal payment platform.", "Nuestros clientes pueden realizar el pago mediante PayPal. Al seleccionar PayPal como método de pago, la página es redireccionado a la plataforma de pago de PayPal."
"Elitestores.com welcomes payments from PayPal accounts. Payments made with accounts verified by PayPal are automatically accepted. Elitestores.com reserves the right to not accept payments that have been made with non verified accounts.","Elitestores.com acepta pagos de cuentas PayPal. Los pagos realizados con cuentas de PayPal verificadas son aceptadas automáticamente. Elitestores.com se reserva el derecho de no aceptar pagos de cuentas de PayPal no verificadas."
"For more information, visit the official PayPal website at www.paypal.com", "Se puede obtener más información visitando la página oficial de PayPal en www.paypal.com"
"You confirm that the credit/debit card that is being used is yours or that you have been specifically authorized by the owner of the credit/debit card to use it. All credit/debit cardholders are subject to validation checks and authorization by the card issuer. If the issuer of your payment card refuses to authorize a payment to Elitestores.com, we will not be liable for any delay or non-delivery.","Elitestores.com acepta pagos de cuentas PayPal. Los pagos realizados con cuentas de PayPal verificadas son aceptadas automáticamente. Elitestores.com se reserva el derecho de no aceptar pagos de cuentas de PayPal no verificadas."
BANK TRANSFER, TRANSFERENCIA BANCARIA 
"The bank transfer service is the slowest of all payment methods. Once selected, the bank account details will be provided, as well as the amount and reference to be specified in the bank transfer.","El servicio de transferencia bancaria es el método de pago más lento. Una vez seleccionado, se proporcionarán los datos bancarios, la cantidad a transferir y la referencia a ser especificado en la transferencia."
"The order will be accepted and the items reserved once we receive justification of the transfer being made.  Please note that up until this point the items are not reserved and could still be sold.","El pedido será aceptado y los artículos reservados una vez hayamos recibido justificación de la transferencia. Hasta este momento los artículos no estarán reservados, y por tanto podrían agotarse."
"After confirming the transfer has been received in our account, we will proceed to ship the goods.","Tras confirmar haber recibido la transferencia, procederemos a enviar el pedido."
PROMOTION CODES, CÓDIGOS PROMOCIONALES
"Promotion codes are not transferable, and there is no cash alternative. All the individual promotion codes cannot be used in conjunction with other promotion codes or offers, and must be used before the published date of expiry.", "Los códigos promocionales no son transferibles, y no hay alternativa monetaria. Los códigos promocionales no son acumulables a otros códigos o promociones, y han de ser usados antes de la fecha de caducidad publicada."
SHIPPING AND INSURANCE, ENVIOS Y SEGURO
"Elitestores.com will ship only to the address you selected in the original online order. <br><br>We will not modify the shipping address once an order has been placed.", "Elitestores.com enviará los pedidos solo a la dirección seleccionada en el pedido original realizado online. No modificaremos la dirección de envío una vez el pedido se haya creado."
"You will own the goods on and from the later of the point in time when either we receive the payment in full or, we deliver the goods to you.", "La mercancía será propiedad del cliente en el más tardío entre el momento en que recibamos el pago del pedido o el pedido sea entregado."
"We aim to dispatch all orders the following working day, 2 days during sale periods. We may offer estimated delivery times. Elitestores.com cannot be held responsible for any delays caused by destinations customs clearance processes.", "Procuramos enviar todos los pedidos el siguiente día laborable tras crear el pedido, dos días en periodo de rebajas. Es posible que ofrezcamos tiempos estimados de entrega. Elitestores.com no puede hacerse responsable de ningún retraso ocasionado por los procesos de despacho aduanero."
"If a delivery is delayed by any event outside of our control, we will contact you as soon as possible to let you know, and we will take steps to minimize the effect of the delay, however we cannot be held responsible for delays caused by this event.", "Si un pedido es retrasado por cualquier motivo fuera de nuestro control, contactaremos con el cliente lo antes posible, y tomaremos las medidas posibles para minimizar los efectos del retraso, sin embargo, no nos podremos hacer responsables de los retrasos causados por estos motivos."
"Elitestores.com ships worldwide using DHL, TNT or Nacex, depending on the destination. Orders are shipped with an official invoice declaring the exact total of merchandise purchased in Euros.", "Elitestores.com envía mundialmente, usando DHL, TNT y Nacex, dependiendo del destino. Los pedidos se envían con una factura oficial en el que se declara el total de la mercancía adquirida en Euros."
"Elitestores.com reserves the right to use an alternative currier if necessary for special circumstances.", "Elitestores.com se reserva el derecho de usar un transportista alternativo en el caso en que las circunstancias los exijan."
"SHIPPING RATE", "COSTE DE ENVÍO"
"To get an estimate, add the desired shipping items to the shopping cart and select the shipping address in the shipping estimator.", "Se puede obtener un presupuesto añadiendo los artículos a la bolsa, pinchando sobre envío y seleccionando el país y estado."
CUSTOMS CLEARENCE, DESPACHO DE ADUANAS
"Elitestores.com will not be responsible for any delivery delay caused by Customs Clearance at destination. The import expenses and any additional taxes will be paid by the client at destination, according to the legislation in the destination country.", "Elistestores.com no se hará responsable de ningún retraso ocasionado por el despacho de aduanas en destino. Los gastos de importación o cualquier impuesto adicional deberá ser pagado por el cliente en destino, de acuerdo con la legislación del país correspondiente."
"If a shipment is refused, we will do what we can to nullify the customs charges and have the shipment returned to Elitestores.com. We cannot guarantee that customs charges can be voided for a refused shipment. If not, we will deduct this amount from your refund. Both the original and return shipping fees, plus any additional customs charges, will be deducted from the refund.", "Si un envío es rechazado, haremos los que podamos para anular los gastos de aduanas y retornar el envío a Elitestores.com. No podemos garantizar que puedan ser anulados los gastos de aduanas en caso de rechazar un envío. En caso en que no sea posible, este importe será descontado de la cantidad a reembolsar. Tanto los gastos de envío como los de retorno, así como cualquier gasto de gestión de aduanas se descontarán del importe a devolver."
SHIPMENT RESTRICTIONS, RESTRICCIONES DE ENVÍO
"Due to import restrictions, there are some products not possible to be shipped to certain countries. Should this occur, Elite Store reserves the right to cancel and refund the order.", "Debido a restricciones de importación, hay algunos productos que no pueden ser enviados a determinados países. Si se diera el caso, Elitestores.com se reserva el derecho a cancelar y reembolsar el pedido."
SHIPMENT INSURANCE, SEGURO DE ENVÍO
"Elitestores.com insures each purchase, against theft or accidental damage during the time of transit until it is delivered to your specified delivery address. The goods are your responsibility from the time they are delivered to the address you gave us.", "Elitestores.com asegura cada pedido, frente a pérdida, robo o daños, en el transcurso del envío, hasta el momento en el que es entregado en la dirección de envío especificado. Los artículos son responsabilidad del cliente desde el momento en que son entregados en la dirección facilitado por el mismo."
SHIPMENTS TO RUSSIA, ENVÍOS A RUSIA
"Customs authorities in Russia have recently tightened restrictions on import shipments to Russia. As a consequence, non-document shipments sent to private individuals now undergo extraordinary scrutiny leading to an increased number of customs holds and delays in delivery. For this reason, Elitestores.com will ship only by National Post. Please note that shipments with this method are much slower.", "Las autoridades aduaneras de Rusia han aumentado recientemente las restricciones de importación hacia Rusia. Como consecuencia de ello, los envíos de mercancía hacia individuos privados se ven sometidos a extraordinarios escrutinios causando numerosas retenciones  y retrasos en la entrega. Por este motivo, Elitestores.com enviará solo mediante el Servicio Nacional de Correos. Este método de envío es mucho más lento."
RETURNS AND EXCHANGES, CAMBIOS Y DEVOLUCIONES
CANCELLING YOUR ORDER UNDER THE CONSUMER CONTRACTS (INFORMATION, CANCELLATION AND ADDITIONAL CHARGES) REGULATIONS 2013, DERECHOS DE DESISTIMIENTO MEDIANTE ICACRs
"If you are based in the EU under the Consumer Contracts (Information, Cancellation and Additional Charges) Regulations 2013 (ICACRs), you have the right to cancel your order provided you give us written notice within 14 days.", "Los cliente situados en la UE tienen derecho a cancelar el pedido en el plazo de 14 días, siempre y cuando se notifique por escrito."
